Basho,Oguruma,Kagamiyama,Azumazeki,Minezaki,Nakagawa,Izutsu,Takanohana,Kasugayama,Asahiyama,Mihogaseki,Magaki,Hanaregoma,Nishonoseki,Nakamura,Hanakago,Oshima,Tagonoura,Takashima,Kiriyama,Araiso
1990.01,16-0-O Kotokaze--61-,11-2-Y Kashiwado--30-,13-0-S Takamiyama--6-,3-0-M2 Misugiiso--50-,,33-6-S Tsurugamine--27-,17-3-Y Wakanohana I--14-Futagoyama,,15-0-K Wakafutase--4-,21-2-O Masuiyama II--47-,30-0-Y Wakanohana II--43-,28-4-O Kaiketsu--18-,15-1-S Kongo--60-,14-0-S Fujizakura--55-,,21-4-O Asahikuni--67-,,,,
1990.03,17-0-O Kotokaze--61-,11-2-Y Kashiwado--30-,15-1-S Takamiyama--6-,3-0-M2 Misugiiso--50-,,36-6-S Tsurugamine--27-,15-3-Y Wakanohana I--14-Futagoyama,,14-0-K Wakafutase--4-,21-1-O Masuiyama II--47-,35-0-Y Wakanohana II--43-,27-4-O Kaiketsu--18-,15-1-S Kongo--60-,19-0-S Fujizakura--55-,,21-4-O Asahikuni--67-,,,,
1990.05,18-0-O Kotokaze--61-,11-2-Y Kashiwado--30-,15-1-S Takamiyama--6-,5-0-M2 Misugiiso--50-,,35-6-S Tsurugamine--27-,15-3-Y Wakanohana I--14-Futagoyama,,15-0-K Wakafutase--4-,20-1-O Masuiyama II--47-,35-0-Y Wakanohana II--43-,28-4-O Kaiketsu--18-,15-1-S Kongo--60-,19-0-S Fujizakura--55-,,23-4-O Asahikuni--67-,,,,
1990.07,17-0-O Kotokaze--61-,11-2-Y Kashiwado--30-,14-1-S Takamiyama--6-,5-0-M2 Misugiiso--50-,,35-5-S Tsurugamine--27-,15-3-Y Wakanohana I--14-Futagoyama,,14-0-K Wakafutase--4-,19-1-O Masuiyama II--47-,34-0-Y Wakanohana II--43-,26-3-O Kaiketsu--18-,14-1-S Kongo--60-,20-0-S Fujizakura--55-,,22-4-O Asahikuni--67-,,,,
1990.09,17-0-O Kotokaze--61-,10-2-Y Kashiwado--30-,14-1-S Takamiyama--6-,5-0-M2 Misugiiso--50-,,35-5-S Tsurugamine--27-,15-3-Y Wakanohana I--14-Futagoyama,,14-0-K Wakafutase--4-,21-1-O Masuiyama II--47-,34-0-Y Wakanohana II--43-,22-2-O Kaiketsu--18-,13-1-S Kongo--60-,20-0-S Fujizakura--55-,,21-4-O Asahikuni--67-,,,,
1990.11,17-0-O Kotokaze--61-,10-2-Y Kashiwado--30-,14-1-S Takamiyama--6-,7-0-M2 Misugiiso--50-,,35-5-S Tsurugamine--27-,15-4-Y Wakanohana I--14-Futagoyama,,14-0-K Wakafutase--4-,21-0-O Masuiyama II--47-,35-0-Y Wakanohana II--43-,20-2-O Kaiketsu--18-,12-1-S Kongo--60-,19-0-S Fujizakura--55-,,21-4-O Asahikuni--67-,,,,
1991.01,19-0-O Kotokaze--61-,10-2-Y Kashiwado--30-,14-1-S Takamiyama--6-,6-0-M2 Misugiiso--50-,,32-5-S Tsurugamine--27-,15-4-Y Wakanohana I--14-Futagoyama,,13-0-K Wakafutase--4-,21-0-O Masuiyama II--47-,35-0-Y Wakanohana II--43-,20-2-O Kaiketsu--18-,12-1-S Kongo--60-,19-0-S Fujizakura--55-,,21-4-O Asahikuni--67-,,,,
1991.03,20-0-O Kotokaze--61-,10-2-Y Kashiwado--30-,14-1-S Takamiyama--6-,7-0-M2 Misugiiso--50-,,32-5-S Tsurugamine--27-,16-4-Y Wakanohana I--14-Futagoyama,,12-0-K Wakafutase--4-,22-0-O Masuiyama II--47-,38-0-Y Wakanohana II--43-,24-2-O Kaiketsu--18-,12-1-S Kongo--60-,20-0-S Fujizakura--55-,,24-4-O Asahikuni--67-,,,,
1991.05,20-0-O Kotokaze--61-,10-2-Y Kashiwado--30-,15-1-S Takamiyama--6-,7-0-M2 Misugiiso--50-,,33-5-S Tsurugamine--27-,16-5-Y Wakanohana I--14-Futagoyama,,12-0-K Wakafutase--4-,22-0-O Masuiyama II--47-,37-0-Y Wakanohana II--43-,24-3-O Kaiketsu--18-,11-1-S Kongo--60-,20-0-S Fujizakura--55-,,24-4-O Asahikuni--67-,,,,
1991.07,19-0-O Kotokaze--61-,10-1-Y Kashiwado--30-,15-1-S Takamiyama--6-,6-0-M2 Misugiiso--50-,,31-5-S Tsurugamine--27-,15-4-Y Wakanohana I--14-Futagoyama,,11-0-K Wakafutase--4-,22-0-O Masuiyama II--47-,37-0-Y Wakanohana II--43-,24-3-O Kaiketsu--18-,11-1-S Kongo--60-,19-0-S Fujizakura--55-,,21-4-O Asahikuni--67-,,,,
1991.09,19-0-O Kotokaze--61-,10-1-Y Kashiwado--30-,15-1-S Takamiyama--6-,7-0-M2 Misugiiso--50-,,31-5-S Tsurugamine--27-,15-4-Y Wakanohana I--14-Futagoyama,,9-0-K Wakafutase--4-,21-0-O Masuiyama II--47-,37-0-Y Wakanohana II--43-,24-1-O Kaiketsu--18-,11-1-S Kongo--60-,19-0-S Fujizakura--55-,,21-4-O Asahikuni--67-,,,,
1991.11,19-0-O Kotokaze--61-,10-1-Y Kashiwado--30-,15-1-S Takamiyama--6-,7-0-M2 Misugiiso--50-,,29-4-S Tsurugamine--27-,14-3-Y Wakanohana I--14-Futagoyama,,8-0-K Wakafutase--4-,21-1-O Masuiyama II--47-,39-0-Y Wakanohana II--43-,21-1-O Kaiketsu--18-,8-1-S Kongo--60-,19-0-S Fujizakura--55-,,19-4-O Asahikuni--67-,,,,
1992.01,17-0-O Kotokaze--61-,10-1-Y Kashiwado--30-,14-1-S Takamiyama--6-,7-0-M2 Misugiiso--50-,,29-4-S Tsurugamine--27-,15-4-Y Wakanohana I--14-Futagoyama,,8-0-K Wakafutase--4-,24-0-O Masuiyama II--47-,40-0-Y Wakanohana II--43-,21-1-O Kaiketsu--18-,9-1-S Kongo--60-,19-0-S Fujizakura--55-,,19-4-O Asahikuni--67-,,,,
1992.03,22-0-O Kotokaze--61-,10-1-Y Kashiwado--30-,14-1-S Takamiyama--6-,8-0-M2 Misugiiso--50-,,32-4-S Tsurugamine--27-,20-4-Y Wakanohana I--14-Futagoyama,,8-0-K Wakafutase--4-,25-0-O Masuiyama II--47-,40-0-Y Wakanohana II--43-,25-1-O Kaiketsu--18-,11-1-S Kongo--60-,25-0-S Fujizakura--55-,,24-3-O Asahikuni--67-,,,,
1992.05,22-0-O Kotokaze--61-,10-1-Y Kashiwado--30-,14-1-S Takamiyama--6-,8-0-M2 Misugiiso--50-,,32-3-S Tsurugamine--27-,20-4-Y Wakanohana I--14-Futagoyama,,7-1-K Wakafutase--4-,25-0-O Masuiyama II--47-,40-0-Y Wakanohana II--43-,25-1-O Kaiketsu--18-,12-1-S Kongo--60-,26-0-S Fujizakura--55-,,24-3-O Asahikuni--67-,,,,
1992.07,22-0-O Kotokaze--61-,9-1-Y Kashiwado--30-,14-1-S Takamiyama--6-,7-0-M2 Misugiiso--50-,,30-4-S Tsurugamine--27-,19-4-Y Wakanohana I--14-Futagoyama,,6-0-K Wakafutase--4-,24-1-O Masuiyama II--47-,40-1-Y Wakanohana II--43-,25-1-O Kaiketsu--18-,12-1-S Kongo--60-,24-0-S Fujizakura--55-,,24-3-O Asahikuni--67-,,,,
1992.09,22-0-O Kotokaze--61-,10-1-Y Kashiwado--30-,14-1-S Takamiyama--6-,7-0-M2 Misugiiso--50-,,30-3-S Tsurugamine--27-,18-4-Y Wakanohana I--14-Futagoyama,,7-0-K Wakafutase--4-,22-2-O Masuiyama II--47-,40-1-Y Wakanohana II--43-,24-1-O Kaiketsu--18-,12-1-S Kongo--60-,24-0-S Fujizakura--55-,,23-3-O Asahikuni--67-,,,,
1992.11,22-0-O Kotokaze--61-,10-1-Y Kashiwado--30-,14-1-S Takamiyama--6-,7-0-M2 Misugiiso--50-,,28-2-S Tsurugamine--27-,15-4-Y Wakanohana I--14-Futagoyama,,6-0-K Wakafutase--4-,22-2-O Masuiyama II--47-,37-2-Y Wakanohana II--43-,23-2-O Kaiketsu--18-,11-1-S Kongo--60-,23-0-S Fujizakura--55-,4-0-S Daijuyama-HB-17-,24-3-O Asahikuni--67-,,,,
1993.01,20-0-O Kotokaze--61-,9-1-Y Kashiwado--30-,15-1-S Takamiyama--6-,8-0-M2 Misugiiso--50-,,28-2-S Tsurugamine--27-,14-4-Y Wakanohana I--14-Futagoyama,,6-0-K Wakafutase--4-,23-2-O Masuiyama II--47-,35-1-Y Wakanohana II--43-,22-2-O Kaiketsu--18-,11-1-S Kongo--60-,24-0-S Fujizakura--55-,4-0-S Daijuyama--17-,22-3-O Asahikuni--67-,,,,
